date,y_true,y_pred,pos,r_gross,cost,r_net,model,H,strategy,tau,phase,allow_short,tc_bps,use_non_overlapping,is_baseline,ref_model
2021-11-26,0.0025983489128984,0.0008897278958058,1,0.0025983489128984,0.0,0.0025983489128984,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-11-29,-0.0036395818266292,4.064231091250165e-05,1,-0.0036395818266292,0.0,-0.0036395818266292,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-11-30,0.000416623274436,0.0011973001776491,1,0.000416623274436,0.0,0.000416623274436,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-01,0.0013528281370156,0.0011459440261167,1,0.0013528281370156,0.0,0.0013528281370156,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-02,-0.0004160599186286,6.036462815838667e-06,1,-0.0004160599186286,0.0,-0.0004160599186286,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-03,0.0021823859012632,0.0006365435137797,1,0.0021823859012632,0.0,0.0021823859012632,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-06,0.0004151530936642,0.0002755825988951,1,0.0004151530936642,0.0,0.0004151530936642,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-07,-0.0049932486976063,-0.0001665558605282,-1,0.0049932486976063,0.0002,0.0047932486976063,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-08,0.0039550426242849,0.0003502640990105,1,0.0039550426242849,0.0002,0.0037550426242848995,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-09,-0.0017674278136281,0.0006104435684592,1,-0.0017674278136281,0.0,-0.0017674278136281,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-10,0.0022866655842639,0.0001129418858302,1,0.0022866655842639,0.0,0.0022866655842639,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-13,0.0025921524183161,0.0007646614381893,1,0.0025921524183161,0.0,0.0025921524183161,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-14,-0.0006215040597821,0.0008167663438485,1,-0.0006215040597821,0.0,-0.0006215040597821,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-15,-0.0048818585659917,-0.0003259954859005,-1,0.0048818585659917,0.0002,0.0046818585659917,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-16,0.0055033626257738,0.0009465603284429,1,0.0055033626257738,0.0002,0.005303362625773801,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-17,-0.0002071251043034,0.0011529264599582,1,-0.0002071251043034,0.0,-0.0002071251043034,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-20,-0.0006216328422308,0.0005306790827298,1,-0.0006216328422308,0.0,-0.0006216328422308,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-21,-0.0042581982605645,-0.0001332097431179,-1,0.0042581982605645,0.0002,0.0040581982605645,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-22,-0.0006246746689333,0.0002187996290363,1,-0.0006246746689333,0.0002,-0.0008246746689333,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-23,0.0007287491863818,0.0002672702356145,1,0.0007287491863818,0.0,0.0007287491863818,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-27,0.0011441053824841,-0.0001795996127279,-1,-0.0011441053824841,0.0002,-0.0013441053824841001,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-28,-0.0028105988418039,0.0004450986514553,1,-0.0028105988418039,0.0002,-0.0030105988418039,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-29,0.00041688379968,0.0004554817492135,1,0.00041688379968,0.0,0.00041688379968,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-30,0.0,0.000791101575161,1,0.0,0.0,0.0,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2021-12-31,0.0024976597436365,0.0003181293369498,1,0.0024976597436365,0.0,0.0024976597436365,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-03,0.0005195615017896,0.0003703905372995,1,0.0005195615017896,0.0,0.0005195615017896,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-04,-0.0009354051505727,0.0005827313992553,1,-0.0009354051505727,0.0,-0.0009354051505727,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-05,0.0015585228361203,0.0010412581403049,1,0.0015585228361203,0.0,0.0015585228361203,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-06,-0.0062487185203377,0.0005380074167484,1,-0.0062487185203377,0.0,-0.0062487185203377,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-07,0.0028167563352727,0.0006747450136256,1,0.0028167563352727,0.0,0.0028167563352727,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-10,-0.0038620161774884,0.0003618641056942,1,-0.0038620161774884,0.0,-0.0038620161774884,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-11,-0.0073475716303939,0.0002519832499548,1,-0.0073475716303939,0.0,-0.0073475716303939,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-12,-0.0013705131026133,0.0004892434682626,1,-0.0013705131026133,0.0,-0.0013705131026133,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-13,0.0040008476193023,0.0010984118979512,1,0.0040008476193023,0.0,0.0040008476193023,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-14,0.0009452292884626,0.0003116416449643,1,0.0009452292884626,0.0,0.0009452292884626,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-17,0.0049217335855473,0.0007157102575218,1,0.0049217335855473,0.0,0.0049217335855473,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-18,-0.0023007749116157,0.0012932966547175,1,-0.0023007749116157,0.0,-0.0023007749116157,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-19,0.0024052299177164,0.0009360713185502,1,0.0024052299177164,0.0,0.0024052299177164,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-20,-0.0010450413742386,0.0006281038646036,1,-0.0010450413742386,0.0,-0.0010450413742386,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-21,0.0029233681291342,0.0008769619091033,1,0.0029233681291342,0.0,0.0029233681291342,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-24,0.0003127117344501,8.408323698264595e-05,1,0.0003127117344501,0.0,0.0003127117344501,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-25,0.0045752393421683,0.0012914184860845,1,0.0045752393421683,0.0,0.0045752393421683,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-26,0.008882520702679,0.0007481845481272,1,0.008882520702679,0.0,0.008882520702679,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-27,0.0002056343827927,0.0008905091709592,1,0.0002056343827927,0.0,0.0002056343827927,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-28,-0.0075331866490016,-0.0003824412885548,-1,0.0075331866490016,0.0002,0.0073331866490016,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-01-31,-0.0015549684364701,-0.0001732139367056,-1,0.0015549684364701,0.0,0.0015549684364701,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-01,-0.004679465721959,1.549010249669561e-05,1,-0.004679465721959,0.0002,-0.004879465721959,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-02,-0.0058540832038396,0.0004746303754772,1,-0.0058540832038396,0.0,-0.0058540832038396,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-03,0.0011526170920328,0.0008188322159891,1,0.0011526170920328,0.0,0.0011526170920328,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-04,-0.00094295150787,-0.0001038865584106,-1,0.00094295150787,0.0002,0.00074295150787,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-07,0.0025125641358831,0.0008601133122857,1,0.0025125641358831,0.0002,0.0023125641358831,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-08,-0.0015696126280131,9.401930540680788e-05,1,-0.0015696126280131,0.0,-0.0015696126280131,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-09,0.0006281407241708,-8.503071690299394e-05,-1,-0.0006281407241708,0.0002,-0.0008281407241708,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-10,0.005531507085446,0.000995465650869,1,0.005531507085446,0.0002,0.005331507085446,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-11,0.0030137720914682,0.0010796267490602,1,0.0030137720914682,0.0,0.0030137720914682,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-14,-0.0039509304877505,0.0006309234293655,1,-0.0039509304877505,0.0,-0.0039509304877505,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-15,-0.0030257209165371,4.866595510487346e-05,1,-0.0030257209165371,0.0,-0.0030257209165371,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-16,0.0010443865179059,0.0005308581248189,1,0.0010443865179059,0.0,0.0010443865179059,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-17,0.0025020863762383,0.0009500992007307,1,0.0025020863762383,0.0,0.0025020863762383,ElasticNet,1,model,0.0,0,True,1.0,True,False,
