model,H,best_score,params_json
Ridge,1,0.0040427826223112,"{""alpha"": 100.0}"
Lasso,1,0.0039703637316769,"{""alpha"": 0.0001}"
ElasticNet,1,0.003972888355556,"{""alpha"": 0.0001, ""l1_ratio"": 0.8}"
RandomForest,1,0.003979368153384,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
Ridge,1,0.0040427826223112,"{""alpha"": 100.0}"
Lasso,1,0.0039703637316769,"{""alpha"": 0.0001}"
ElasticNet,1,0.003972888355556,"{""alpha"": 0.0001, ""l1_ratio"": 0.8}"
RandomForest,1,0.003979368153384,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
Ridge,1,0.0040427826223112,"{""alpha"": 100.0}"
Lasso,1,0.0039703637316769,"{""alpha"": 0.0001}"
ElasticNet,1,0.003972888355556,"{""alpha"": 0.0001, ""l1_ratio"": 0.8}"
RandomForest,1,0.003979368153384,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
XGBoost,1,0.0040013215947461,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
LightGBM,1,0.0041562930446016,"{""n_estimators"": 1000, ""num_leaves"": 15, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
MLP,1,0.0261039602140724,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""learning_rate_init"": 0.001, ""max_iter"": 300}"
Ridge,5,0.0096071313622422,"{""alpha"": 100.0}"
Lasso,5,0.0088749787023696,"{""alpha"": 0.01}"
ElasticNet,5,0.0088749787023696,"{""alpha"": 0.01, ""l1_ratio"": 0.2}"
RandomForest,5,0.0088457107123946,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}"
XGBoost,5,0.008965506992237,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
LightGBM,5,0.0099778369605454,"{""n_estimators"": 1000, ""num_leaves"": 15, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.0}"
MLP,5,0.0291990940498187,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""learning_rate_init"": 0.001, ""max_iter"": 300}"
Ridge,10,0.0140826533774629,"{""alpha"": 100.0}"
Lasso,10,0.0122100226457936,"{""alpha"": 0.01}"
ElasticNet,10,0.0122100226457936,"{""alpha"": 0.01, ""l1_ratio"": 0.5}"
RandomForest,10,0.0120992403564351,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
XGBoost,10,0.0123642309689021,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
LightGBM,10,0.0135346876834325,"{""n_estimators"": 1000, ""num_leaves"": 63, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
MLP,10,0.0352668764411017,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""learning_rate_init"": 0.001, ""max_iter"": 300}"
Ridge,20,0.0203701573691762,"{""alpha"": 100.0}"
Lasso,20,0.0164410908487461,"{""alpha"": 0.01}"
ElasticNet,20,0.0164410908487461,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
RandomForest,20,0.0160384650998679,"{""n_estimators"": 300, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
XGBoost,20,0.0169618386279284,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}"
LightGBM,20,0.0180454935558734,"{""n_estimators"": 1000, ""num_leaves"": 63, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
